ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,bin,target_bin,prediction,longterm_target_estimate
1992-07-07 13:00:00,1.7870547,17.457294827397646,3.78,135.0,0-30,120-150,2.9393701679850164,4.03569849614856
1992-07-07 14:00:00,1.901007,23.9535447396471,3.76,61.0,0-30,60-90,4.18401348833239,4.13984176454826
1992-07-07 15:00:00,1.9434282,31.936580502704885,3.55,55.0,30-60,30-60,4.023526984815842,4.864535819449103
1992-07-07 16:00:00,1.7436461,50.02506667390804,3.49,39.0,30-60,30-60,3.4135446305869017,4.6827763029673255
1992-07-07 17:00:00,1.3566502,67.65335566451918,4.13,46.0,60-90,30-60,2.944007888369639,3.840342519088122
1992-07-07 18:00:00,0.9221257,73.83879790484657,3.43,42.0,60-90,30-60,2.7819676065036645,3.5234313476288204
1992-07-07 19:00:00,0.3777392,79.75008799316556,3.23,42.0,60-90,30-60,2.3919364490881825,3.126394670889928
1992-07-07 20:00:00,0.40393496,28.09840526930833,3.12,44.0,0-30,30-60,1.9297865469534312,2.7716379171892647
1992-07-07 21:00:00,1.0006617,2.627166286452166,3.01,39.0,0-30,30-60,2.542793298280977,3.31699832715991
1992-07-07 22:00:00,0.32342178,357.296988407562,3.15,41.0,330-360,30-60,2.398177170073956,1.4886043013422117
1992-07-07 23:00:00,0.6406731,11.809688026841116,3.13,39.0,0-30,30-60,2.6930433870746286,2.9879976014998557
1992-07-08 00:00:00,0.8882273,62.28988684744307,1.61,51.0,60-90,30-60,2.5489605784442544,3.4987082729699788
1992-07-08 01:00:00,0.94166714,70.31204958248473,1.97,49.0,60-90,30-60,3.1196151624281634,3.537683479884658
1992-07-08 02:00:00,0.52810353,100.673662683393,2.39,48.0,90-120,30-60,2.715040151562723,3.697988907681516
1992-07-08 03:00:00,0.3601483,155.16348256955925,1.86,53.0,150-180,30-60,2.7736979225579943,2.2530644350496725
1992-07-08 04:00:00,0.5897483,233.75575242564315,0.55,89.0,210-240,60-90,2.1869187085561848,1.8746684020055373
1992-07-08 05:00:00,0.8528923,257.2447143030662,0.52,144.0,240-270,120-150,1.3919245651243066,1.6036292539626182
1992-07-08 06:00:00,0.89354324,263.1455894705739,0.21,153.0,240-270,150-180,1.2935224661653375,1.6853607499035472
1992-07-08 07:00:00,0.64117545,261.08647158035063,0.62,189.0,240-270,180-210,1.3638711407953221,1.1779580427581222
1992-07-08 08:00:00,0.71602577,273.64016127254195,0.66,189.0,270-300,180-210,1.4992710116617334,1.419881441640104
1992-07-08 09:00:00,1.1712859,299.4645194279533,1.14,193.0,270-300,180-210,2.1248729108864057,2.266557921525473
1992-07-08 10:00:00,1.4133201,300.68714885004664,2.08,221.0,300-330,210-240,2.1540630350448295,2.459600124785302
1992-07-08 11:00:00,1.9115502,327.07255119045385,1.33,34.0,300-330,30-60,2.3747179847294326,3.203108943043177
