ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,bin,target_bin,longterm_target_estimate
2017-01-07 19:00:00,5.0,300.0,5.33203,312.1875,270-300,300-330,5.547270651476972
2017-01-07 20:00:00,5.0,310.0,5.50781,306.21094,300-330,300-330,5.7834224303371515
2017-01-07 21:00:00,5.0,310.0,4.6875,326.95313,300-330,300-330,5.7834224303371515
2017-01-07 22:00:00,5.0,290.0,4.92188,293.90625,270-300,270-300,5.547270651476972
2017-01-07 23:00:00,5.0,300.0,4.62891,307.96875,270-300,300-330,5.547270651476972
2017-01-07 00:00:00,5.0,310.0,12.01172,202.85156,300-330,180-210,5.7834224303371515
2017-01-08 01:00:00,4.0,300.0,5.15625,316.05469,270-300,300-330,4.604258240995664
2017-01-08 02:00:00,4.0,310.0,3.33984,328.71094,300-330,300-330,4.821820345606779
2017-01-08 03:00:00,5.0,310.0,4.27734,335.74219,300-330,330-360,5.7834224303371515
2017-01-08 04:00:00,4.0,320.0,3.45703,332.22656,300-330,330-360,4.821820345606779
2017-01-08 05:00:00,4.0,340.0,2.98828,320.97656,330-360,300-330,4.922163994793201
2017-01-08 06:00:00,3.0,350.0,3.33984,337.85156,330-360,330-360,3.90278108967579
2017-01-08 07:00:00,1.0,30.0,1.40625,9.84375,0-30,0-30,2.568512628268185
2017-01-08 08:00:00,0.0,0.0,2.51953,187.03125,0-30,180-210,1.6715041420818757
2017-01-08 09:00:00,1.0,280.0,2.92969,248.20313,270-300,240-270,1.7752210095517427
2017-01-08 10:00:00,2.0,290.0,2.87109,301.64063,270-300,300-330,2.71823342003305
2017-01-08 11:00:00,1.0,270.0,1.64063,249.96094,240-270,240-270,1.89398188416639
2017-01-08 12:00:00,1.0,190.0,1.64063,259.45313,180-210,240-270,1.9157632944319327
2017-01-08 13:00:00,1.0,130.0,1.69922,265.07813,120-150,240-270,1.8522516449052961
2017-01-08 14:00:00,2.0,120.0,2.34375,253.82813,90-120,240-270,2.9933487677087784
2017-01-08 15:00:00,2.0,140.0,1.23047,298.47656,120-150,270-300,2.8086322095500202
2017-01-08 16:00:00,3.0,150.0,1.23047,233.08594,120-150,210-240,3.765012774194744
2017-01-08 17:00:00,3.0,150.0,2.63672,298.125,120-150,270-300,3.765012774194744
2017-01-08 18:00:00,2.0,150.0,2.57813,304.10156,120-150,300-330,2.8086322095500202
2017-01-08 19:00:00,2.0,140.0,1.69922,293.20313,120-150,270-300,2.8086322095500202
2017-01-08 20:00:00,2.0,150.0,1.23047,208.82813,120-150,180-210,2.8086322095500202
2017-01-08 21:00:00,2.0,200.0,2.34375,181.40625,180-210,180-210,2.8677202503044255
2017-01-08 22:00:00,3.0,220.0,4.21875,220.42969,210-240,210-240,4.295736467406998
2017-01-08 23:00:00,2.0,210.0,4.21875,229.57031,180-210,210-240,2.8677202503044255
2017-01-08 00:00:00,3.0,200.0,5.85938,305.50781,180-210,300-330,3.8196772061769186
2017-01-09 01:00:00,4.0,190.0,4.98047,221.83594,180-210,210-240,4.771634162049411
2017-01-09 02:00:00,4.0,210.0,4.80469,233.08594,180-210,210-240,4.771634162049411
2017-01-09 03:00:00,4.0,200.0,5.27344,223.24219,180-210,210-240,4.771634162049411
2017-01-09 04:00:00,5.0,200.0,5.74219,204.96094,180-210,180-210,5.723591117921904
2017-01-09 05:00:00,5.0,190.0,4.74609,187.38281,180-210,180-210,5.723591117921904
2017-01-09 06:00:00,6.0,180.0,6.32813,194.0625,150-180,180-210,6.377093986818733
2017-01-09 07:00:00,7.0,190.0,7.5,206.01563,180-210,180-210,7.62750502966689
2017-01-09 08:00:00,8.0,190.0,8.61328,201.44531,180-210,180-210,8.579461985539382
2017-01-09 09:00:00,9.0,200.0,8.20313,209.88281,180-210,180-210,9.531418941411875
2017-01-09 10:00:00,9.0,200.0,9.90234,215.50781,180-210,210-240,9.531418941411875
2017-01-09 11:00:00,10.0,200.0,9.66797,220.42969,180-210,210-240,10.483375897284368
2017-01-09 12:00:00,10.0,200.0,9.375,207.77344,180-210,180-210,10.483375897284368
2017-01-09 13:00:00,10.0,190.0,11.25,199.6875,180-210,180-210,10.483375897284368
2017-01-09 14:00:00,10.0,190.0,11.42578,197.22656,180-210,180-210,10.483375897284368
2017-01-09 15:00:00,10.0,180.0,11.01563,201.09375,150-180,180-210,10.337596842589978
2017-01-09 16:00:00,11.0,190.0,11.66016,205.66406,180-210,180-210,11.435332853156861
2017-01-09 17:00:00,12.0,200.0,11.42578,212.69531,180-210,210-240,12.387289809029355
2017-01-09 18:00:00,12.0,180.0,11.89453,197.22656,150-180,180-210,12.317848270475604
2017-01-09 19:00:00,12.0,180.0,13.71094,190.19531,150-180,180-210,12.317848270475604
2017-01-09 20:00:00,13.0,180.0,13.65234,201.44531,150-180,180-210,13.307973984418414
2017-01-09 21:00:00,14.0,190.0,14.29688,203.90625,180-210,180-210,14.29120372077434
2017-01-09 22:00:00,10.0,310.0,8.02734,330.82031,300-330,330-360,10.591432853989014
2017-01-09 23:00:00,8.0,290.0,10.54688,315.70313,270-300,300-330,8.376307882920894
2017-01-09 00:00:00,9.0,290.0,2.75391,216.5625,270-300,210-240,9.319320293402201
2017-01-10 01:00:00,10.0,280.0,10.83984,297.77344,270-300,270-300,10.262332703883509
2017-01-10 02:00:00,10.0,270.0,9.66797,292.14844,240-270,270-300,10.77649554726855
2017-01-10 03:00:00,10.0,270.0,9.49219,287.92969,240-270,270-300,10.77649554726855
2017-01-10 04:00:00,9.0,270.0,10.42969,287.22656,240-270,270-300,9.789549584701643
2017-01-10 05:00:00,10.0,280.0,10.78125,294.96094,270-300,270-300,10.262332703883509
2017-01-10 06:00:00,9.0,280.0,9.49219,291.44531,270-300,270-300,9.319320293402201
2017-01-10 07:00:00,8.0,270.0,6.97266,299.88281,240-270,270-300,8.802603622134736
2017-01-10 08:00:00,9.0,270.0,9.78516,294.96094,240-270,270-300,9.789549584701643
2017-01-10 09:00:00,9.0,280.0,11.30859,309.375,270-300,300-330,9.319320293402201
2017-01-10 10:00:00,10.0,290.0,9.43359,302.34375,270-300,300-330,10.262332703883509
2017-01-10 11:00:00,8.0,300.0,8.78906,300.58594,270-300,300-330,8.376307882920894
2017-01-10 12:00:00,7.0,290.0,8.14453,298.82813,270-300,270-300,7.433295472439586
2017-01-10 13:00:00,6.0,290.0,7.03125,294.60938,270-300,270-300,6.490283061958279
2017-01-10 14:00:00,7.0,280.0,6.38672,286.875,270-300,270-300,7.433295472439586
2017-01-10 15:00:00,6.0,280.0,7.44141,292.85156,270-300,270-300,6.490283061958279
2017-01-10 16:00:00,6.0,270.0,5.91797,294.96094,240-270,270-300,6.828711697000923
2017-01-10 17:00:00,6.0,270.0,6.5625,293.55469,240-270,270-300,6.828711697000923
2017-01-10 18:00:00,6.0,260.0,6.91406,277.73438,240-270,270-300,6.828711697000923
2017-01-10 19:00:00,5.0,250.0,6.38672,271.05469,240-270,270-300,5.841765734434016
2017-01-10 20:00:00,6.0,250.0,5.39063,261.91406,240-270,240-270,6.828711697000923
2017-01-10 21:00:00,5.0,240.0,6.38672,273.16406,210-240,270-300,6.292990374693032
2017-01-10 22:00:00,5.0,230.0,6.21094,246.09375,210-240,240-270,6.292990374693032
2017-01-10 23:00:00,6.0,240.0,7.20703,234.84375,210-240,210-240,7.2916173283360495
2017-01-10 00:00:00,8.0,220.0,10.72266,306.21094,210-240,300-330,9.288871235622084
2017-01-11 01:00:00,9.0,210.0,8.78906,219.375,180-210,210-240,9.531418941411875
2017-01-11 02:00:00,10.0,200.0,10.78125,212.34375,180-210,210-240,10.483375897284368
2017-01-11 03:00:00,11.0,200.0,9.78516,212.69531,180-210,210-240,11.435332853156861
2017-01-11 04:00:00,11.0,200.0,11.19141,208.125,180-210,180-210,11.435332853156861
2017-01-11 05:00:00,11.0,200.0,11.25,212.69531,180-210,210-240,11.435332853156861
2017-01-11 06:00:00,12.0,210.0,12.36328,218.32031,180-210,210-240,12.387289809029355
2017-01-11 07:00:00,12.0,210.0,12.65625,233.78906,180-210,210-240,12.387289809029355
2017-01-11 08:00:00,11.0,230.0,13.00781,261.5625,210-240,240-270,12.284752096551136
2017-01-11 09:00:00,10.0,240.0,12.1875,268.24219,210-240,240-270,11.286125142908118
2017-01-11 10:00:00,12.0,250.0,12.48047,270.35156,240-270,270-300,12.750387472402362
2017-01-11 11:00:00,13.0,270.0,12.65625,273.51563,240-270,270-300,13.737333434969269
2017-01-11 12:00:00,10.0,260.0,12.1875,282.30469,240-270,270-300,10.77649554726855
2017-01-11 13:00:00,13.0,280.0,15.70313,290.74219,270-300,270-300,13.09136993532743
2017-01-11 14:00:00,15.0,280.0,16.11328,290.39063,270-300,270-300,14.977394756290044
2017-01-11 15:00:00,15.0,280.0,14.88281,294.60938,270-300,270-300,14.977394756290044
