ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,bin,target_bin,longterm_target_estimate
2013-01-03 03:00:00,5.492813,246.23594317604244,7.0,240.0,240-270,210-240,6.036323435121158
2013-01-03 04:00:00,5.42952,248.025325492071,6.0,250.0,240-270,240-270,5.9678315640896145
2013-01-03 05:00:00,5.4447746,248.41727635950863,5.0,250.0,240-270,240-270,5.984339173080146
2013-01-03 06:00:00,5.5223875,249.6509507247345,6.0,250.0,240-270,240-270,6.068327177080338
2013-01-03 07:00:00,5.4039416,250.64968404546187,6.0,240.0,240-270,210-240,5.940152160774978
2013-01-03 08:00:00,5.280555,252.689014084102,6.0,250.0,240-270,240-270,5.80663061661969
2013-01-03 09:00:00,5.419795,255.4826962307412,6.0,250.0,240-270,240-270,5.957307755046248
2013-01-03 10:00:00,5.2441916,257.8100630285288,5.0,250.0,240-270,240-270,5.7672803361294545
2013-01-03 11:00:00,4.8356905,257.5339829261743,5.0,240.0,240-270,210-240,5.325225058966992
2013-01-03 12:00:00,4.913031,258.92613947452605,6.0,240.0,240-270,210-240,5.4089182880999935
2013-01-03 13:00:00,5.1612053,258.729807814023,5.0,250.0,240-270,240-270,5.677477562410639
2013-01-03 14:00:00,5.2333155,261.3171544680688,5.0,250.0,240-270,240-270,5.755510876022868
2013-01-03 15:00:00,5.2395883,265.2281669182942,6.0,250.0,240-270,240-270,5.762298922230295
2013-01-03 16:00:00,4.994689,265.98257281200085,5.0,260.0,240-270,240-270,5.497283655592351
2013-01-03 17:00:00,4.70127,265.8732673236319,5.0,260.0,240-270,240-270,5.179763293052979
2013-01-03 18:00:00,4.390964,265.38173836510083,5.0,260.0,240-270,240-270,4.843968836599434
2013-01-03 19:00:00,4.1384034,264.17662166448986,4.0,280.0,240-270,270-300,4.570662972714811
2013-01-03 20:00:00,3.9825912,260.86858235733223,5.0,260.0,240-270,240-270,4.40205239796656
2013-01-03 21:00:00,4.0442657,258.01097722206043,5.0,260.0,240-270,240-270,4.468792825816953
2013-01-03 22:00:00,3.952476,257.5319847454264,4.0,250.0,240-270,240-270,4.369463543045966
2013-01-03 23:00:00,4.027059,258.5053980180737,3.0,230.0,240-270,210-240,4.4501727718255415
2013-01-04 00:00:00,4.002286,257.4484224239253,3.0,270.0,240-270,240-270,4.423364923863453
2013-01-04 01:00:00,4.0503674,251.40019680012068,3.0,230.0,240-270,210-240,4.475395717913601
2013-01-04 02:00:00,4.5119367,254.308465786858,4.0,240.0,240-270,210-240,4.974878203618497
2013-01-04 03:00:00,4.960616,257.2469727338509,4.0,240.0,240-270,210-240,5.460411907979538
2013-01-04 04:00:00,4.816626,264.1243696999968,5.0,270.0,240-270,240-270,5.304594605752879
2013-01-04 05:00:00,4.584175,270.3751726867278,5.0,270.0,270-300,240-270,4.938196840937639
2013-01-04 06:00:00,4.5722084,270.8240161448982,6.0,270.0,270-300,240-270,4.925346977954752
2013-01-04 07:00:00,4.4461365,266.2383779147917,6.0,270.0,240-270,240-270,4.903673191812297
2013-01-04 08:00:00,4.3683205,269.79995055918084,5.0,270.0,240-270,240-270,4.819465405229412
2013-01-04 09:00:00,4.3766556,272.72883234926337,4.0,280.0,270-300,270-300,4.715360291183235
2013-01-04 10:00:00,4.7790327,274.75237245691983,5.0,270.0,270-300,240-270,5.147437121899703
2013-01-04 11:00:00,5.2212048,284.7618793746654,4.0,250.0,270-300,240-270,5.622246248957988
2013-01-04 12:00:00,4.8879476,285.221624149745,5.0,270.0,270-300,240-270,5.2643911056373485
2013-01-04 13:00:00,4.91867,281.01890455110885,6.0,280.0,270-300,270-300,5.297381147128286
2013-01-04 14:00:00,4.7593145,280.6218095244794,6.0,270.0,270-300,240-270,5.126263507985209
2013-01-04 15:00:00,4.1283135,274.4986621864514,5.0,270.0,270-300,240-270,4.448687889842622
2013-01-04 16:00:00,4.0643454,269.4856702448679,4.0,270.0,240-270,240-270,4.490521867302616
2013-01-04 17:00:00,4.1221786,270.54674879714906,5.0,280.0,270-300,270-300,4.442100168650828
2013-01-04 18:00:00,4.119086,273.74882177550705,4.0,270.0,270-300,240-270,4.438779301716121
2013-01-04 19:00:00,4.0319934,276.3523376884614,3.0,280.0,270-300,270-300,4.345258336962269
2013-01-04 20:00:00,4.287449,278.9823949838294,3.0,280.0,270-300,270-300,4.619569290634268
2013-01-04 21:00:00,4.3169,282.4773527879719,3.0,280.0,270-300,270-300,4.651194089216074
2013-01-04 22:00:00,3.8650165,287.6865844298928,3.0,290.0,270-300,270-300,4.165956757039206
2013-01-04 23:00:00,3.9182558,282.2425694415669,4.0,300.0,270-300,270-300,4.223125686418047
2013-01-05 00:00:00,3.8111324,281.34419076080167,4.0,240.0,270-300,210-240,4.108095434528533
2013-01-05 01:00:00,3.6896389,282.8674741137252,2.0,250.0,270-300,240-270,3.977634415666746
2013-01-05 02:00:00,3.389955,284.177589956578,3.0,260.0,270-300,240-270,3.655830640728385
2013-01-05 03:00:00,3.0866027,286.4133837486392,3.0,260.0,270-300,240-270,3.330087698660978
2013-01-05 04:00:00,2.9532738,291.27865816640826,3.0,280.0,270-300,270-300,3.186917700778612
2013-01-05 05:00:00,2.9988408,288.910355262872,3.0,280.0,270-300,270-300,3.235848032413432
2013-01-05 06:00:00,2.949198,281.47574392734134,3.0,290.0,270-300,270-300,3.1825410631751447
2013-01-05 07:00:00,2.7694604,277.291810832394,2.0,270.0,270-300,240-270,2.989536907201596
2013-01-05 08:00:00,2.5316203,272.25634871423483,2.0,270.0,270-300,240-270,2.734141665709753
2013-01-05 09:00:00,3.1313362,270.54025591118454,2.0,270.0,270-300,240-270,3.3781230090870813
2013-01-05 10:00:00,3.4936006,282.5646503415883,3.0,270.0,270-300,240-270,3.7671263938060493
2013-01-05 11:00:00,3.2283282,287.2624067950614,4.0,280.0,270-300,270-300,3.482274055368919
2013-01-05 12:00:00,3.2933588,284.7916243006759,4.0,270.0,270-300,240-270,3.5521046087169856
2013-01-05 13:00:00,3.3853514,279.7420066675836,3.0,280.0,270-300,270-300,3.65088724584362
2013-01-05 14:00:00,3.441463,276.24284762097506,3.0,290.0,270-300,270-300,3.711140481662533
2013-01-05 15:00:00,2.9614537,268.2743808051919,3.0,280.0,240-270,270-300,3.297038921666288
2013-01-05 16:00:00,2.5671635,259.63336650063604,3.0,270.0,240-270,240-270,2.8703618242400064
2013-01-05 17:00:00,2.387184,249.8896056709277,3.0,260.0,240-270,240-270,2.6755988535746607
2013-01-05 18:00:00,2.4512706,238.62740883674576,2.0,240.0,210-240,210-240,2.6757020248755468
2013-01-05 19:00:00,2.5589037,228.92891429961543,2.0,220.0,210-240,210-240,2.801895063314026
2013-01-05 20:00:00,3.1445181,243.36514862933552,3.0,230.0,240-270,210-240,3.495140185238357
