ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,bin,target_bin,longterm_target_estimate
1992-07-27 22:00:00,2.2311165,297.37939091721205,3.02,320.0,270-300,300-330,2.5884560881209713
1992-07-27 23:00:00,2.2111373,307.72463969562034,2.34,334.0,300-330,330-360,2.3585385813654707
1992-07-28 00:00:00,2.2607028,325.88144796627853,2.54,322.0,300-330,300-330,2.4223829994794057
1992-07-28 01:00:00,2.6155686,346.7976815042434,1.21,353.0,330-360,330-360,3.2861233294966055
1992-07-28 02:00:00,2.6089292,6.196418388339765,2.22,28.0,0-30,0-30,2.4624152745549472
1992-07-28 03:00:00,2.4432642,21.3244666513599,1.9,31.0,0-30,30-60,2.236795113717819
1992-07-28 04:00:00,2.2952945,30.15660557251738,3.18,41.0,30-60,30-60,1.4272917275012058
1992-07-28 05:00:00,2.7374842,36.600155139652486,1.88,59.0,30-60,30-60,1.9565523876816595
1992-07-28 06:00:00,1.7615408,49.271845675782,1.67,77.0,30-60,60-90,0.7884373271482352
1992-07-28 07:00:00,1.6819246,69.37640370319926,1.67,100.0,60-90,90-120,0.7306449154729957
1992-07-28 08:00:00,2.1066496,90.29973508511854,1.16,134.0,90-120,120-150,1.816952218873635
1992-07-28 09:00:00,2.4168487,109.52096050397816,3.08,130.0,90-120,120-150,2.229371848756051
1992-07-28 10:00:00,2.5644908,127.77012710400662,3.69,132.0,120-150,120-150,3.365710871336333
1992-07-28 11:00:00,2.4979985,123.5474663244474,3.81,139.0,120-150,120-150,3.260895950609449
1992-07-28 12:00:00,2.121773,115.50958270808115,4.81,169.0,90-120,150-180,1.8370592631254197
1992-07-28 13:00:00,1.7340832,95.97281630365585,3.96,139.0,90-120,120-150,1.321613267875311
1992-07-28 14:00:00,1.9896414,75.63164932585462,3.49,132.0,60-90,120-150,1.0923662299960135
1992-07-28 15:00:00,2.5055392,68.26876784775831,2.65,130.0,60-90,120-150,1.6988044562336868
1992-07-28 16:00:00,2.741284,71.62702516925351,2.0,137.0,60-90,120-150,1.9759226342076097
1992-07-28 17:00:00,2.7928903,80.18358708030574,0.49,114.0,60-90,90-120,2.0365858761029796
1992-07-28 18:00:00,2.6202452,89.42297149588681,2.73,8.0,60-90,0-30,1.8336414397967467
1992-07-28 19:00:00,2.0446246,93.49928592377604,1.31,23.0,90-120,0-30,1.7344879965613949
1992-07-28 20:00:00,2.1497853,93.26455587942536,0.32,104.0,90-120,90-120,1.8743025123745478
1992-07-28 21:00:00,2.482495,95.1084553653633,1.2,152.0,90-120,150-180,2.3166507053006065
1992-07-28 22:00:00,2.5760152,106.7978308411818,3.84,117.0,90-120,90-120,2.440988803865462
1992-07-28 23:00:00,2.5075388,103.05008019815445,2.32,106.0,90-120,90-120,2.3499472388071485
1992-07-29 00:00:00,2.3324902,101.8925682761755,4.83,125.0,90-120,120-150,2.117214523517404
1992-07-29 01:00:00,2.481366,100.36436156768764,5.05,137.0,90-120,120-150,2.3151496636723836
1992-07-29 02:00:00,2.5778668,96.72827407285536,4.95,131.0,90-120,120-150,2.4434505653170273
1992-07-29 03:00:00,2.6471398,93.30341719651956,4.52,131.0,90-120,120-150,2.5355512355666985
1992-07-29 04:00:00,2.464818,87.27433171159596,5.31,124.0,60-90,120-150,1.6509366570334008
1992-07-29 05:00:00,2.6255856,84.6639182176472,4.64,128.0,60-90,120-150,1.839919083747544
1992-07-29 06:00:00,3.2929099,91.26039617154606,4.78,127.0,90-120,120-150,3.394123248287338
1992-07-29 07:00:00,3.5254602,101.77325801215144,5.22,135.0,90-120,120-150,3.7033063137928295
1992-07-29 08:00:00,3.935679,113.5791575300697,6.19,146.0,90-120,120-150,4.2487053354753845
1992-07-29 09:00:00,4.0777493,123.31625524701067,5.32,158.0,120-150,150-180,5.7511309833911595
1992-07-29 10:00:00,3.7090616,125.6944181751116,5.21,162.0,120-150,150-180,5.169951327273427
1992-07-29 11:00:00,3.0211334,134.68210104722868,3.9,165.0,120-150,150-180,4.085537947847721
1992-07-29 12:00:00,2.3830903,135.58868895213087,2.54,168.0,120-150,150-180,3.079760783471767
1992-07-29 13:00:00,2.195007,129.98110142054628,1.47,186.0,120-150,180-210,2.7832762855742548
1992-07-29 14:00:00,1.2395635,132.77844552270173,2.74,160.0,120-150,150-180,1.2771660335373054
1992-07-29 15:00:00,0.58018655,62.05611653473088,3.9,358.0,60-90,330-360,-0.5644489361010052
1992-07-29 16:00:00,0.9031446,34.74772453581636,1.98,6.0,30-60,0-30,-0.2389844773587282
1992-07-29 17:00:00,1.1312705,0.1062804106083774,1.69,13.0,0-30,0-30,0.4499829952178378
1992-07-29 18:00:00,1.7832329,354.6428878390973,1.17,352.0,330-360,330-360,2.1605322075538997
1992-07-29 19:00:00,2.1449714,346.67307124865727,2.6,356.0,330-360,330-360,2.6497214181871476
1992-07-29 20:00:00,2.5105858,348.4124602865716,2.14,348.0,330-360,330-360,3.1441521180771184
1992-07-29 21:00:00,2.7362375,353.85961309917866,2.23,1.0,330-360,0-30,3.4493072978576795
1992-07-29 22:00:00,2.4501994,346.8047335080013,3.14,336.0,330-360,330-360,3.062489880441413
1992-07-29 23:00:00,2.7294374,345.14671284116616,3.35,348.0,330-360,330-360,3.440111330187036
1992-07-30 00:00:00,2.912987,348.70363987354017,2.98,358.0,330-360,330-360,3.6883306486617027
1992-07-30 01:00:00,2.8621502,349.33031319078646,3.85,336.0,330-360,330-360,3.619582605356607
1992-07-30 02:00:00,3.0379999,345.1823992796793,4.21,342.0,330-360,330-360,3.8573891311565793
1992-07-30 03:00:00,3.1454494,344.7919480118908,3.29,356.0,330-360,330-360,4.0026961307928834
1992-07-30 04:00:00,3.4377851,348.1922580511191,4.52,358.0,330-360,330-360,4.398029970909205
1992-07-30 05:00:00,3.67018,351.0402608791985,5.43,353.0,330-360,330-360,4.712304170880158
1992-07-30 06:00:00,3.8857703,353.0970610330276,5.31,346.0,330-360,330-360,5.003853034706332
1992-07-30 07:00:00,4.0616856,359.2398585166111,5.72,10.0,330-360,0-30,5.241748273242764
1992-07-30 08:00:00,4.286112,0.1633356417994491,6.54,8.0,0-30,0-30,4.746580626857881
1992-07-30 09:00:00,4.6663117,359.1491158581679,6.58,6.0,330-360,0-30,6.059401258997
1992-07-30 10:00:00,4.5367618,359.9384919398776,6.62,10.0,330-360,0-30,5.884207263006482
1992-07-30 11:00:00,4.133804,8.737315678565892,5.68,8.0,0-30,0-30,4.53915144473262
1992-07-30 12:00:00,3.405406,13.104010051237964,6.03,3.0,0-30,0-30,3.547141823427923
