ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,target_bin,bin
2012-01-01 01:00:00,10.322634,229.3624472369254,12.0,240.0,210-240,210-240
2012-01-01 02:00:00,10.679521,232.0927452935805,10.0,240.0,210-240,210-240
2012-01-01 03:00:00,10.867237,234.34472982894383,11.0,240.0,210-240,210-240
2012-01-01 04:00:00,10.5122175,233.5914007824498,11.0,240.0,210-240,210-240
2012-01-01 05:00:00,10.374266,235.28693946314135,12.0,240.0,210-240,210-240
2012-01-01 06:00:00,10.3022995,236.65012240632356,12.0,240.0,210-240,210-240
2012-01-01 07:00:00,10.186879,235.551949662666,11.0,240.0,210-240,210-240
2012-01-01 08:00:00,9.857332,233.0206770198828,11.0,240.0,210-240,210-240
2012-01-01 09:00:00,9.635661,230.2869243832786,10.0,220.0,210-240,210-240
2012-01-01 10:00:00,8.504878,223.33937129366737,12.0,230.0,210-240,210-240
2012-01-01 11:00:00,9.097959,221.23985644828215,11.0,230.0,210-240,210-240
2012-01-01 12:00:00,9.043567,217.8959254645498,11.0,220.0,210-240,210-240
2012-01-01 13:00:00,9.278644,215.52079261024,11.0,220.0,210-240,210-240
2012-01-01 14:00:00,8.747391,208.21866207471183,10.0,210.0,180-210,180-210
2012-01-01 15:00:00,9.519182,201.3801798738046,8.0,210.0,180-210,180-210
2012-01-01 16:00:00,10.314719,201.74843046170827,9.0,200.0,180-210,180-210
2012-01-01 17:00:00,10.662426,204.89862540876425,11.0,200.0,180-210,180-210
2012-01-01 18:00:00,10.8347435,211.48305484962268,12.0,200.0,180-210,210-240
2012-01-01 19:00:00,10.401922,216.80608963968768,14.0,230.0,210-240,210-240
2012-01-01 20:00:00,10.6083555,222.55986836357096,12.0,250.0,240-270,210-240
2012-01-01 21:00:00,10.147206,243.8728529306456,11.0,270.0,240-270,240-270
2012-01-01 22:00:00,9.09585,267.0121715071552,8.0,250.0,240-270,240-270
2012-01-01 23:00:00,8.125109,249.15608397708175,9.0,240.0,210-240,240-270
2012-01-02 00:00:00,9.49761,241.4381131966444,11.0,220.0,210-240,240-270
2012-01-02 01:00:00,9.562851,244.16216805425788,9.0,240.0,210-240,240-270
2012-01-02 02:00:00,9.159396,247.7694169342126,8.0,270.0,240-270,240-270
2012-01-02 03:00:00,8.926203,255.45254932363684,8.0,270.0,240-270,240-270
2012-01-02 04:00:00,8.333645,262.3299769363473,8.0,270.0,240-270,240-270
2012-01-02 05:00:00,7.5340033,264.7976050473227,8.0,270.0,240-270,240-270
2012-01-02 06:00:00,6.924197,260.90213466764527,7.0,270.0,240-270,240-270
2012-01-02 07:00:00,6.689884,254.8893871037425,8.0,270.0,240-270,240-270
2012-01-02 08:00:00,7.240477,251.726504011256,9.0,270.0,240-270,240-270
2012-01-02 09:00:00,7.900569,251.93843808655637,9.0,260.0,240-270,240-270
2012-01-02 10:00:00,7.607921,248.01674611823412,9.0,250.0,240-270,240-270
2012-01-02 11:00:00,8.57053,247.52612638026253,8.0,250.0,240-270,240-270
2012-01-02 12:00:00,9.816396,254.54417234380296,10.0,260.0,240-270,240-270
2012-01-02 13:00:00,9.771845,261.3015243415728,12.0,270.0,240-270,240-270
2012-01-02 14:00:00,9.8524475,263.25736375532614,11.0,270.0,240-270,240-270
2012-01-02 15:00:00,10.346929,263.3865406257811,11.0,270.0,240-270,240-270
2012-01-02 16:00:00,9.880165,260.115934550676,11.0,270.0,240-270,240-270
2012-01-02 17:00:00,9.799446,255.5239743199073,11.0,260.0,240-270,240-270
2012-01-02 18:00:00,9.886538,250.20193479748087,12.0,250.0,240-270,240-270
2012-01-02 19:00:00,10.163828,245.58547269943432,11.0,250.0,240-270,240-270
2012-01-02 20:00:00,10.508896,240.49453237325207,11.0,250.0,240-270,240-270
2012-01-02 21:00:00,10.8478,237.6462309496217,12.0,250.0,240-270,210-240
2012-01-02 22:00:00,11.1339445,237.67783853040612,11.0,250.0,240-270,210-240
2012-01-02 23:00:00,10.994204,232.9205681025574,11.0,240.0,210-240,210-240
2012-01-03 00:00:00,11.221106,224.7374732112497,16.0,260.0,240-270,210-240
2012-01-03 01:00:00,12.22762,219.83833381888584,12.0,210.0,180-210,210-240
2012-01-03 02:00:00,12.417532,217.0261838021631,13.0,220.0,210-240,210-240
2012-01-03 03:00:00,12.8402605,211.90824101463303,14.0,220.0,210-240,210-240
2012-01-03 04:00:00,13.40678,207.7668895343413,15.0,210.0,180-210,180-210
2012-01-03 05:00:00,13.994432,203.0694391873401,15.0,210.0,180-210,180-210
2012-01-03 06:00:00,15.137083,197.8405005046908,16.0,200.0,180-210,180-210
2012-01-03 07:00:00,16.816723,196.7618349480434,18.0,200.0,180-210,180-210
2012-01-03 08:00:00,19.076685,204.7260611177262,19.0,210.0,180-210,180-210
2012-01-03 09:00:00,18.630928,211.16051316390107,21.0,210.0,180-210,210-240
2012-01-03 10:00:00,17.872858,211.3092295755744,20.0,210.0,180-210,210-240
2012-01-03 11:00:00,18.071484,212.36563278234624,20.0,210.0,180-210,210-240
2012-01-03 12:00:00,18.320473,213.3481604129188,19.0,210.0,180-210,210-240
2012-01-03 13:00:00,18.578123,218.39104871544475,18.0,220.0,210-240,210-240
2012-01-03 14:00:00,18.555439,232.59426029414408,19.0,280.0,270-300,210-240
2012-01-03 15:00:00,14.639197,254.6562314390692,10.0,250.0,240-270,240-270
2012-01-03 16:00:00,14.29003,256.89376380950284,14.0,260.0,240-270,240-270
2012-01-03 17:00:00,16.432909,256.1971095477916,16.0,260.0,240-270,240-270
2012-01-03 18:00:00,16.161242,258.5638983479988,17.0,260.0,240-270,240-270
2012-01-03 19:00:00,15.897486,263.21324760920714,20.0,270.0,240-270,240-270
2012-01-03 20:00:00,15.0883875,262.54339122044394,19.0,280.0,270-300,240-270
2012-01-03 21:00:00,14.08794,260.37563754727233,17.0,270.0,240-270,240-270
2012-01-03 22:00:00,12.777266,253.8623914011632,16.0,270.0,240-270,240-270
2012-01-03 23:00:00,12.823098,249.23259594792563,16.0,270.0,240-270,240-270
2012-01-04 00:00:00,13.414365,245.7408859238577,18.0,250.0,240-270,240-270
2012-01-04 01:00:00,14.952639,252.67000146445048,16.0,270.0,240-270,240-270
2012-01-04 02:00:00,15.9870825,264.117129331313,18.0,280.0,270-300,240-270
2012-01-04 03:00:00,15.734211,276.34014176066063,20.0,290.0,270-300,270-300
2012-01-04 04:00:00,15.348647,285.6805612121673,19.0,290.0,270-300,270-300
2012-01-04 05:00:00,14.745646,288.8381233745677,17.0,300.0,270-300,270-300
2012-01-04 06:00:00,14.4285755,287.2735787962215,18.0,300.0,270-300,270-300
2012-01-04 07:00:00,14.373438,285.14440504797534,17.0,290.0,270-300,270-300
