ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,target_bin,bin
1991-01-22 14:00:00,4.116,30.0,2.85,39.59,30-60,0-30
1991-01-22 15:00:00,5.659,40.0,4.8,57.91,30-60,30-60
1991-01-22 16:00:00,3.087,60.0,4.38,73.3,60-90,30-60
1991-01-22 17:00:00,6.173,70.0,3.43,81.1,60-90,60-90
1991-01-22 18:00:00,3.087,30.0,4.44,87.8,60-90,0-30
1991-01-22 19:00:00,1.029,40.0,4.54,6.8,0-30,30-60
1991-01-22 20:00:00,2.572,70.0,4.33,74.9,60-90,60-90
1991-01-22 21:00:00,2.058,10.0,3.97,69.34,60-90,0-30
1991-01-22 22:00:00,3.087,40.0,3.88,65.61,60-90,30-60
1991-01-22 23:00:00,4.116,30.0,3.59,58.69,30-60,0-30
1991-01-23 00:00:00,4.116,50.0,3.62,58.96,30-60,30-60
1991-01-23 01:00:00,3.601,70.0,4.24,73.6,60-90,60-90
1991-01-23 02:00:00,3.601,60.0,4.52,80.3,60-90,30-60
1991-01-23 03:00:00,4.116,70.0,3.82,75.3,60-90,60-90
1991-01-23 04:00:00,4.116,80.0,3.86,85.5,60-90,60-90
1991-01-23 05:00:00,4.116,90.0,3.45,101.5,90-120,60-90
1991-01-23 06:00:00,4.116,100.0,3.94,110.8,90-120,90-120
1991-01-23 07:00:00,4.63,100.0,3.92,117.9,90-120,90-120
1991-01-23 08:00:00,3.601,100.0,3.97,12.4,0-30,90-120
1991-01-23 09:00:00,3.601,100.0,3.63,133.2,120-150,90-120
1991-01-23 10:00:00,2.572,80.0,2.78,12.1,0-30,60-90
1991-01-23 11:00:00,1.029,90.0,3.03,120.1,120-150,60-90
1991-01-23 12:00:00,2.572,100.0,2.23,110.3,90-120,90-120
1991-01-23 13:00:00,1.543,110.0,1.89,123.1,120-150,90-120
1991-01-23 14:00:00,1.029,150.0,1.69,136.7,120-150,120-150
1991-01-23 15:00:00,1.029,330.0,1.08,155.4,150-180,300-330
1991-01-23 16:00:00,1.029,330.0,0.36,12.6,0-30,300-330
1991-01-23 17:00:00,1.029,330.0,1.64,0.59,0-30,300-330
1991-01-23 18:00:00,1.029,360.0,2.04,12.93,0-30,330-360
1991-01-23 19:00:00,1.029,20.0,2.11,40.96,30-60,0-30
1991-01-23 20:00:00,1.029,20.0,3.45,39.65,30-60,0-30
1991-01-23 21:00:00,1.543,50.0,3.35,50.05,30-60,30-60
1991-01-23 22:00:00,1.029,50.0,3.16,51.25,30-60,30-60
1991-01-23 23:00:00,3.087,90.0,2.16,57.76,30-60,60-90
1991-01-24 00:00:00,2.058,100.0,1.9,69.9,60-90,90-120
1991-01-24 01:00:00,3.087,100.0,2.1,90.7,90-120,90-120
1991-01-24 02:00:00,3.087,120.0,2.33,104.4,90-120,90-120
1991-01-24 03:00:00,2.572,100.0,2.13,111.9,90-120,90-120
1991-01-24 04:00:00,2.572,100.0,1.76,10.8,0-30,90-120
1991-01-24 05:00:00,2.572,100.0,1.76,117.2,90-120,90-120
1991-01-24 06:00:00,2.572,90.0,1.25,92.6,90-120,60-90
1991-01-24 07:00:00,2.572,100.0,2.5,9.4,0-30,90-120
1991-01-24 08:00:00,4.116,120.0,3.33,126.6,120-150,90-120
1991-01-24 09:00:00,3.601,90.0,3.64,121.1,120-150,60-90
1991-01-24 10:00:00,4.116,100.0,3.24,126.6,120-150,90-120
1991-01-24 11:00:00,4.116,100.0,3.52,121.7,120-150,90-120
1991-01-24 12:00:00,4.63,100.0,3.83,122.7,120-150,90-120
1991-01-24 13:00:00,3.601,100.0,4.34,122.1,120-150,90-120
1991-01-24 14:00:00,5.659,110.0,5.26,123.1,120-150,90-120
1991-01-24 15:00:00,5.144,100.0,5.45,126.4,120-150,90-120
1991-01-24 16:00:00,4.63,100.0,4.73,131.6,120-150,90-120
1991-01-24 17:00:00,3.601,90.0,4.16,134.1,120-150,60-90
1991-01-24 18:00:00,6.173,100.0,4.14,107.9,90-120,90-120
1991-01-24 19:00:00,4.116,90.0,4.64,99.2,90-120,60-90
1991-01-24 20:00:00,3.087,80.0,4.19,99.3,90-120,60-90
1991-01-24 21:00:00,3.601,70.0,4.83,108.4,90-120,60-90
1991-01-24 22:00:00,3.601,80.0,4.72,108.4,90-120,60-90
1991-01-24 23:00:00,3.087,80.0,4.72,115.4,90-120,60-90
1991-01-25 00:00:00,3.601,100.0,6.15,135.4,120-150,90-120
1991-01-25 01:00:00,4.63,100.0,6.0,143.7,120-150,90-120
1991-01-25 02:00:00,4.116,90.0,6.98,150.7,150-180,60-90
1991-01-25 03:00:00,4.63,90.0,5.7,138.4,120-150,60-90
1991-01-25 04:00:00,5.144,90.0,6.14,14.0,0-30,60-90
1991-01-25 05:00:00,5.144,80.0,5.42,129.3,120-150,60-90
1991-01-25 06:00:00,3.601,80.0,3.55,125.8,120-150,60-90
1991-01-25 07:00:00,3.087,90.0,4.85,142.1,120-150,60-90
1991-01-25 08:00:00,4.116,80.0,5.08,157.6,150-180,60-90
1991-01-25 09:00:00,3.601,80.0,3.64,135.8,120-150,60-90
1991-01-25 10:00:00,3.087,50.0,2.53,107.3,90-120,30-60
1991-01-25 11:00:00,3.601,70.0,2.62,133.4,120-150,60-90
1991-01-25 12:00:00,3.601,70.0,2.4,109.1,90-120,60-90
1991-01-25 13:00:00,3.087,80.0,2.09,118.2,90-120,60-90
1991-01-25 14:00:00,3.601,80.0,2.55,99.4,90-120,60-90
1991-01-25 15:00:00,3.601,80.0,2.18,10.2,0-30,60-90
1991-01-25 16:00:00,3.601,70.0,1.78,78.7,60-90,60-90
1991-01-25 17:00:00,3.087,80.0,2.34,66.45,60-90,60-90
1991-01-25 18:00:00,3.087,80.0,2.51,58.78,30-60,60-90
1991-01-25 19:00:00,3.087,90.0,2.14,79.7,60-90,60-90
1991-01-25 20:00:00,3.087,80.0,2.91,95.2,90-120,60-90
1991-01-25 21:00:00,3.087,90.0,3.62,102.7,90-120,60-90
1991-01-25 22:00:00,2.572,80.0,3.09,121.2,120-150,60-90
1991-01-25 23:00:00,1.029,70.0,1.9,98.1,90-120,60-90
1991-01-26 00:00:00,1.029,40.0,1.8,54.77,30-60,30-60
1991-01-26 01:00:00,1.029,20.0,2.14,64.18,60-90,0-30
1991-01-26 02:00:00,4.116,60.0,2.66,64.1,60-90,30-60
1991-01-26 03:00:00,3.601,60.0,3.35,57.13,30-60,30-60
1991-01-26 04:00:00,2.572,50.0,3.31,59.74,30-60,30-60
1991-01-26 05:00:00,3.601,40.0,3.98,51.93,30-60,30-60
1991-01-26 06:00:00,1.029,70.0,4.81,49.96,30-60,60-90
1991-01-26 07:00:00,3.087,50.0,3.83,37.48,30-60,30-60
1991-01-26 08:00:00,5.659,80.0,4.0,53.28,30-60,60-90
1991-01-26 09:00:00,4.116,110.0,5.48,100.6,90-120,90-120
1991-01-26 10:00:00,4.63,110.0,3.43,13.0,0-30,90-120
1991-01-26 11:00:00,3.601,100.0,3.84,117.2,90-120,90-120
1991-01-26 12:00:00,3.601,90.0,3.62,108.1,90-120,60-90
1991-01-26 13:00:00,3.601,80.0,3.1,114.6,90-120,60-90
1991-01-26 14:00:00,3.601,60.0,2.84,9.3,0-30,30-60
1991-01-26 15:00:00,3.601,70.0,2.38,94.4,90-120,60-90
1991-01-26 16:00:00,3.087,70.0,2.62,92.7,90-120,60-90
1991-01-26 17:00:00,2.058,60.0,2.37,83.8,60-90,30-60
1991-01-26 18:00:00,2.058,40.0,1.96,40.35,30-60,30-60
1991-01-26 19:00:00,3.087,90.0,1.62,98.8,90-120,60-90
1991-01-26 20:00:00,3.601,90.0,2.24,11.8,0-30,60-90
1991-01-26 21:00:00,2.572,110.0,2.09,114.9,90-120,90-120
1991-01-26 22:00:00,3.601,100.0,3.0,111.2,90-120,90-120
1991-01-26 23:00:00,3.087,70.0,2.45,89.8,60-90,60-90
1991-01-27 00:00:00,2.572,40.0,1.23,49.59,30-60,30-60
1991-01-27 01:00:00,3.601,80.0,1.63,9.9,0-30,60-90
1991-01-27 02:00:00,4.116,90.0,3.56,119.8,90-120,60-90
1991-01-27 03:00:00,5.659,90.0,3.89,122.6,120-150,60-90
1991-01-27 04:00:00,5.659,90.0,4.4,116.4,90-120,60-90
1991-01-27 05:00:00,5.659,90.0,4.84,115.8,90-120,60-90
1991-01-27 06:00:00,5.659,100.0,4.82,118.4,90-120,90-120
1991-01-27 07:00:00,4.116,90.0,4.97,115.4,90-120,60-90
1991-01-27 08:00:00,4.63,90.0,5.54,118.3,90-120,60-90
1991-01-27 09:00:00,7.202,110.0,5.48,111.7,90-120,90-120
1991-01-27 10:00:00,4.63,100.0,4.16,112.4,90-120,90-120
1991-01-27 11:00:00,4.116,90.0,4.65,113.4,90-120,60-90
1991-01-27 12:00:00,5.144,90.0,4.36,116.6,90-120,60-90
1991-01-27 13:00:00,3.601,90.0,4.61,110.6,90-120,60-90
1991-01-27 14:00:00,3.601,100.0,3.87,121.3,120-150,90-120
1991-01-27 15:00:00,3.087,100.0,3.36,117.2,90-120,90-120
1991-01-27 16:00:00,3.087,100.0,3.2,122.6,120-150,90-120
1991-01-27 17:00:00,3.601,90.0,3.22,118.6,90-120,60-90
1991-01-27 18:00:00,4.63,90.0,3.3,118.9,90-120,60-90
1991-01-27 19:00:00,5.144,90.0,4.02,103.9,90-120,60-90
1991-01-27 20:00:00,5.144,90.0,5.21,110.8,90-120,60-90
1991-01-27 21:00:00,5.144,100.0,5.31,109.5,90-120,90-120
1991-01-27 22:00:00,5.144,90.0,4.84,110.1,90-120,60-90
1991-01-27 23:00:00,5.144,90.0,5.04,102.6,90-120,60-90
1991-01-28 00:00:00,4.116,80.0,4.1,91.5,90-120,60-90
1991-01-28 01:00:00,4.63,80.0,4.31,97.2,90-120,60-90
1991-01-28 02:00:00,5.144,90.0,4.24,102.6,90-120,60-90
1991-01-28 03:00:00,5.144,90.0,4.89,105.5,90-120,60-90
1991-01-28 04:00:00,5.144,80.0,4.96,108.3,90-120,60-90
1991-01-28 05:00:00,4.63,90.0,3.59,12.4,0-30,60-90
1991-01-28 06:00:00,4.116,90.0,4.34,114.8,90-120,60-90
1991-01-28 07:00:00,3.601,80.0,3.42,111.1,90-120,60-90
1991-01-28 08:00:00,3.601,90.0,4.22,107.2,90-120,60-90
1991-01-28 09:00:00,4.63,90.0,3.6,126.7,120-150,60-90
1991-01-28 10:00:00,3.087,100.0,5.34,173.8,150-180,90-120
1991-01-28 11:00:00,2.572,120.0,5.89,175.4,150-180,90-120
1991-01-28 12:00:00,4.63,160.0,5.64,180.5,180-210,150-180
1991-01-28 13:00:00,5.659,140.0,5.49,167.2,150-180,120-150
1991-01-28 14:00:00,6.173,150.0,6.35,164.5,150-180,120-150
1991-01-28 15:00:00,4.63,150.0,6.67,174.3,150-180,120-150
1991-01-28 16:00:00,6.173,150.0,6.29,16.6,0-30,120-150
1991-01-28 17:00:00,5.144,130.0,5.94,174.9,150-180,120-150
1991-01-28 18:00:00,5.659,170.0,6.13,191.1,180-210,150-180
