ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,target_bin,bin
2012-01-01 01:00:00,5.942342,232.72717089050403,8.0,240.0,210-240,210-240
2012-01-01 02:00:00,5.893129,227.0354515200138,8.0,240.0,210-240,210-240
2012-01-01 03:00:00,6.453593,229.18019123786533,7.0,230.0,210-240,210-240
2012-01-01 04:00:00,6.553026,231.44330001310763,7.0,230.0,210-240,210-240
2012-01-01 05:00:00,6.403627,231.58785392019195,7.0,230.0,210-240,210-240
2012-01-01 06:00:00,6.317939,234.97983795409172,8.0,240.0,210-240,210-240
2012-01-01 07:00:00,6.1880417,237.0182796839601,8.0,240.0,210-240,210-240
2012-01-01 08:00:00,6.040584,236.59816153755068,9.0,250.0,240-270,210-240
2012-01-01 09:00:00,6.063707,234.671569229504,8.0,250.0,240-270,210-240
2012-01-01 10:00:00,4.960574,227.88511231124272,9.0,230.0,210-240,210-240
2012-01-01 11:00:00,5.3324504,220.13479916061945,8.0,230.0,210-240,210-240
2012-01-01 12:00:00,5.61191,217.7883559366984,6.0,220.0,210-240,210-240
2012-01-01 13:00:00,5.6722307,218.3464263694489,7.0,230.0,210-240,210-240
2012-01-01 14:00:00,5.4400663,214.18682296320583,7.0,220.0,210-240,210-240
2012-01-01 15:00:00,5.593772,201.2717859501024,5.0,200.0,180-210,180-210
2012-01-01 16:00:00,6.7659755,194.9289041782945,6.0,180.0,150-180,180-210
2012-01-01 17:00:00,7.6953926,195.74785025434537,7.0,190.0,180-210,180-210
2012-01-01 18:00:00,8.505401,196.60436116581565,9.0,190.0,180-210,180-210
2012-01-01 19:00:00,9.297219,199.3692711000112,9.0,190.0,180-210,180-210
2012-01-01 20:00:00,9.931899,203.8859922639124,10.0,200.0,180-210,180-210
2012-01-01 21:00:00,10.64499,211.7151479199121,9.0,230.0,210-240,210-240
2012-01-01 22:00:00,7.8443556,241.34732637354773,8.0,260.0,240-270,240-270
2012-01-01 23:00:00,6.2106857,265.5514679565998,6.0,250.0,240-270,240-270
2012-01-02 00:00:00,4.5933523,246.30152144117855,7.0,210.0,180-210,240-270
2012-01-02 01:00:00,5.299741,239.8269318498625,7.0,230.0,210-240,210-240
2012-01-02 02:00:00,5.4853187,238.7736985331688,6.0,240.0,210-240,210-240
2012-01-02 03:00:00,5.5103483,242.31550306638667,5.0,250.0,240-270,240-270
2012-01-02 04:00:00,5.462496,250.9412834464938,6.0,250.0,240-270,240-270
2012-01-02 05:00:00,4.9212813,257.91962752276584,5.0,250.0,240-270,240-270
2012-01-02 06:00:00,4.1319675,256.5557004889981,4.0,250.0,240-270,240-270
2012-01-02 07:00:00,3.6874018,248.84468660811223,4.0,260.0,240-270,240-270
2012-01-02 08:00:00,3.6082504,243.85585536584787,3.0,230.0,210-240,240-270
2012-01-02 09:00:00,4.1221695,241.4413229947696,4.0,230.0,210-240,240-270
2012-01-02 10:00:00,4.2649364,242.21424286100583,5.0,230.0,210-240,240-270
2012-01-02 11:00:00,4.439123,233.7810423990066,5.0,240.0,210-240,210-240
2012-01-02 12:00:00,6.033909,242.64266281326243,7.0,240.0,210-240,240-270
