ob_time,target_wind_speed,target_wind_direction
2005-09-05 00:00:00,12.76,124.7
2005-09-05 01:00:00,8.62,141.0
2005-09-05 02:00:00,7.57,140.6
2005-09-05 03:00:00,8.74,135.8
2005-09-05 04:00:00,7.67,127.5
2005-09-05 05:00:00,6.09,138.4
2005-09-05 06:00:00,3.02,129.6
2005-09-05 07:00:00,5.09,114.0
2005-09-05 08:00:00,2.76,152.6
2005-09-05 09:00:00,1.2,76.4
2005-09-05 10:00:00,0.98,253.5
2005-09-05 11:00:00,5.24,280.7
2005-09-05 12:00:00,4.73,278.6
2005-09-05 13:00:00,5.68,296.3
2005-09-05 14:00:00,3.14,327.3
2005-09-05 15:00:00,2.42,300.5
2005-09-05 16:00:00,3.92,332.0
2005-09-05 17:00:00,2.75,343.6
2005-09-05 18:00:00,2.43,339.9
2005-09-05 19:00:00,2.13,305.9
2005-09-05 20:00:00,0.98,302.1
2005-09-05 21:00:00,0.58,74.3
2005-09-05 22:00:00,1.99,237.0
2005-09-05 23:00:00,1.87,234.8
2005-09-06 00:00:00,2.5,214.7
2005-09-06 01:00:00,2.46,208.9
2005-09-06 02:00:00,3.16,186.9
2005-09-06 03:00:00,3.86,184.1
2005-09-06 04:00:00,3.06,174.6
2005-09-06 05:00:00,2.06,178.8
2005-09-06 06:00:00,2.19,161.0
2005-09-06 07:00:00,2.61,137.5
2005-09-06 08:00:00,4.93,119.4
2005-09-06 09:00:00,3.12,118.3
2005-09-06 10:00:00,2.83,95.9
2005-09-06 11:00:00,2.76,52.7
2005-09-06 12:00:00,3.92,61.1
2005-09-06 13:00:00,2.74,62.1
2005-09-06 14:00:00,1.73,47.8
2005-09-06 15:00:00,1.76,41.5
2005-09-06 16:00:00,1.07,78.9
2005-09-06 17:00:00,1.95,152.6
2005-09-06 18:00:00,1.16,189.2
2005-09-06 19:00:00,2.08,177.4
2005-09-06 20:00:00,2.73,187.0
2005-09-06 21:00:00,5.18,231.7
2005-09-06 22:00:00,6.17,257.2
2005-09-06 23:00:00,7.1,244.4
2005-09-07 00:00:00,4.85,224.8
2005-09-07 01:00:00,4.42,202.7
2005-09-07 02:00:00,5.95,237.3
2005-09-07 03:00:00,7.95,243.0
2005-09-07 04:00:00,10.16,234.8
2005-09-07 05:00:00,11.16,229.5
2005-09-07 06:00:00,11.69,239.0
2005-09-07 07:00:00,12.28,232.7
2005-09-07 08:00:00,13.63,241.9
2005-09-07 09:00:00,13.78,244.0
2005-09-07 10:00:00,11.51,243.6
2005-09-07 11:00:00,11.64,244.0
2005-09-07 12:00:00,8.87,235.2
2005-09-07 13:00:00,9.84,195.8
2005-09-07 14:00:00,3.26,238.9
2005-09-07 15:00:00,10.31,224.0
2005-09-07 16:00:00,7.89,228.9
2005-09-07 17:00:00,9.34,211.4
2005-09-07 18:00:00,12.09,217.0
2005-09-07 19:00:00,11.95,216.9
2005-09-07 20:00:00,12.21,205.7
2005-09-07 21:00:00,11.74,207.0
2005-09-07 22:00:00,3.98,267.3
2005-09-07 23:00:00,6.78,237.3
2005-09-08 00:00:00,10.19,239.5
2005-09-08 01:00:00,9.63,217.1
2005-09-08 02:00:00,11.29,238.0
2005-09-08 03:00:00,15.58,239.8
2005-09-08 04:00:00,16.27,246.6
2005-09-08 05:00:00,12.21,251.8
2005-09-08 06:00:00,7.97,284.8
2005-09-08 07:00:00,6.18,282.8
2005-09-08 08:00:00,4.72,279.3
2005-09-08 09:00:00,4.69,281.9
2005-09-08 10:00:00,4.38,292.4
2005-09-08 11:00:00,4.49,288.1
2005-09-08 12:00:00,4.97,305.5
2005-09-08 13:00:00,3.1,334.2
2005-09-08 14:00:00,4.22,332.2
2005-09-08 15:00:00,3.86,344.7
2005-09-08 16:00:00,3.04,43.0
2005-09-08 17:00:00,3.09,63.8
2005-09-08 18:00:00,3.18,30.9
2005-09-08 19:00:00,3.59,50.2
2005-09-08 20:00:00,4.54,59.2
2005-09-08 21:00:00,4.29,48.6
2005-09-08 22:00:00,3.08,56.3
2005-09-08 23:00:00,3.87,59.4
2005-09-09 00:00:00,4.08,67.3
2005-09-09 01:00:00,4.4,81.3
2005-09-09 02:00:00,5.48,83.7
2005-09-09 03:00:00,5.22,78.8
2005-09-09 04:00:00,9.65,59.5
2005-09-09 05:00:00,8.75,63.9
2005-09-09 06:00:00,6.49,76.2
2005-09-09 07:00:00,7.36,87.7
2005-09-09 08:00:00,9.89,90.5
2005-09-09 09:00:00,11.09,89.3
2005-09-09 10:00:00,9.81,77.3
2005-09-09 11:00:00,9.75,70.0
2005-09-09 12:00:00,10.45,72.5
2005-09-09 13:00:00,10.21,68.8
2005-09-09 14:00:00,10.47,70.5
2005-09-09 15:00:00,9.22,73.3
2005-09-09 16:00:00,8.32,71.0
2005-09-09 17:00:00,9.59,66.2
2005-09-09 18:00:00,9.31,62.0
2005-09-09 19:00:00,8.82,63.8
2005-09-09 20:00:00,8.37,66.2
2005-09-09 21:00:00,8.24,65.3
2005-09-09 22:00:00,7.92,57.7
2005-09-09 23:00:00,8.49,69.7
2005-09-10 00:00:00,8.65,68.6
2005-09-10 01:00:00,6.83,72.6
2005-09-10 02:00:00,6.48,69.4
2005-09-10 03:00:00,6.91,73.2
2005-09-10 04:00:00,8.01,70.1
2005-09-10 05:00:00,8.83,73.4
2005-09-10 06:00:00,9.73,69.4
2005-09-10 07:00:00,9.89,62.3
2005-09-10 08:00:00,11.06,68.2
2005-09-10 09:00:00,11.04,65.3
2005-09-10 10:00:00,10.99,71.5
2005-09-10 11:00:00,8.64,68.8
2005-09-10 12:00:00,10.5,61.3
2005-09-10 13:00:00,10.43,57.1
2005-09-10 14:00:00,9.86,59.0
2005-09-10 15:00:00,9.39,64.6
2005-09-10 16:00:00,9.2,71.5
2005-09-10 17:00:00,6.64,82.6
2005-09-10 18:00:00,8.11,82.8
2005-09-10 19:00:00,6.18,81.0
2005-09-10 20:00:00,5.91,75.8
2005-09-10 21:00:00,6.95,59.0
2005-09-10 22:00:00,7.89,63.4
2005-09-10 23:00:00,8.43,83.8
2005-09-11 00:00:00,3.82,68.9
2005-09-11 01:00:00,2.67,15.9
2005-09-11 02:00:00,2.56,54.3
2005-09-11 03:00:00,2.35,48.0
2005-09-11 04:00:00,1.9,33.5
2005-09-11 05:00:00,3.4,10.9
2005-09-11 06:00:00,4.73,346.2
2005-09-11 07:00:00,4.26,355.0
2005-09-11 08:00:00,3.12,4.4
2005-09-11 09:00:00,2.35,8.0
2005-09-11 10:00:00,2.72,328.9
2005-09-11 11:00:00,3.11,339.2
2005-09-11 12:00:00,5.42,15.8
2005-09-11 13:00:00,6.41,1.2
2005-09-11 14:00:00,6.7,353.3
2005-09-11 15:00:00,6.55,343.9
2005-09-11 16:00:00,5.36,333.2
2005-09-11 17:00:00,6.26,331.6
2005-09-11 18:00:00,7.2,334.3
2005-09-11 19:00:00,7.89,335.3
2005-09-11 20:00:00,5.61,312.4
2005-09-11 21:00:00,5.55,316.9
2005-09-11 22:00:00,5.55,325.0
2005-09-11 23:00:00,6.73,24.5
2005-09-12 00:00:00,6.41,8.8
2005-09-12 01:00:00,4.03,17.9
2005-09-12 02:00:00,4.5,346.0
2005-09-12 03:00:00,4.03,9.7
2005-09-12 04:00:00,2.37,35.2
2005-09-12 05:00:00,1.41,50.7
2005-09-12 06:00:00,0.83,2.3
2005-09-12 07:00:00,1.48,354.3
2005-09-12 08:00:00,1.26,332.2
