ob_time,ref_wind_speed,ref_wind_direction
2005-09-28 00:00:00,14.49,290.6
2005-09-28 01:00:00,11.06,289.9
2005-09-28 02:00:00,10.64,288.3
2005-09-28 03:00:00,10.78,287.7
2005-09-28 04:00:00,10.34,286.6
2005-09-28 05:00:00,9.51,293.9
2005-09-28 06:00:00,9.71,300.2
2005-09-28 07:00:00,10.31,300.3
2005-09-28 08:00:00,9.79,298.2
2005-09-28 09:00:00,9.4,296.8
2005-09-28 10:00:00,7.39,287.7
2005-09-28 11:00:00,7.11,282.9
2005-09-28 12:00:00,6.54,274.7
2005-09-28 13:00:00,9.02,252.7
2005-09-28 14:00:00,7.5,244.7
2005-09-28 15:00:00,10.64,242.4
2005-09-28 16:00:00,10.13,247.5
2005-09-28 17:00:00,7.69,244.6
2005-09-28 18:00:00,13.24,245.0
2005-09-28 19:00:00,12.46,241.5
2005-09-28 20:00:00,14.77,235.0
2005-09-28 21:00:00,14.18,234.9
2005-09-28 22:00:00,15.76,238.7
2005-09-28 23:00:00,13.44,237.4
2005-09-29 00:00:00,14.68,246.2
2005-09-29 01:00:00,11.08,248.5
2005-09-29 02:00:00,10.74,286.7
2005-09-29 03:00:00,13.13,328.7
2005-09-29 04:00:00,11.97,328.8
2005-09-29 05:00:00,11.16,330.3
2005-09-29 06:00:00,8.81,325.4
2005-09-29 07:00:00,12.56,319.8
2005-09-29 08:00:00,11.22,316.1
2005-09-29 09:00:00,10.98,316.0
2005-09-29 10:00:00,11.32,316.3
2005-09-29 11:00:00,11.13,316.3
2005-09-29 12:00:00,12.19,318.8
2005-09-29 13:00:00,11.85,315.7
2005-09-29 14:00:00,10.2,314.9
2005-09-29 15:00:00,10.93,309.2
2005-09-29 16:00:00,10.68,315.8
2005-09-29 17:00:00,10.66,300.8
2005-09-29 18:00:00,5.83,313.1
2005-09-29 19:00:00,6.45,298.9
2005-09-29 20:00:00,9.29,293.4
2005-09-29 21:00:00,8.97,294.1
2005-09-29 22:00:00,7.65,289.3
2005-09-29 23:00:00,5.28,271.6
2005-09-30 00:00:00,7.2,267.7
2005-09-30 01:00:00,7.33,287.8
2005-09-30 02:00:00,6.68,269.7
2005-09-30 03:00:00,4.73,257.5
2005-09-30 04:00:00,4.09,248.5
2005-09-30 05:00:00,8.0,233.2
2005-09-30 06:00:00,11.53,220.6
2005-09-30 07:00:00,9.49,216.3
2005-09-30 08:00:00,12.63,219.8
2005-09-30 09:00:00,14.75,221.5
2005-09-30 10:00:00,9.86,238.1
2005-09-30 11:00:00,11.78,240.2
2005-09-30 12:00:00,11.8,242.0
2005-09-30 13:00:00,8.09,244.7
2005-09-30 14:00:00,8.8,239.4
2005-09-30 15:00:00,10.21,241.8
2005-09-30 16:00:00,9.45,236.0
2005-09-30 17:00:00,8.89,243.1
2005-09-30 18:00:00,10.33,241.3
2005-09-30 19:00:00,8.89,240.1
2005-09-30 20:00:00,9.8,238.7
2005-09-30 21:00:00,8.59,237.9
2005-09-30 22:00:00,9.69,237.2
2005-09-30 23:00:00,12.13,241.2
2005-10-01 00:00:00,9.44,247.3
2005-10-01 01:00:00,14.88,256.0
2005-10-01 02:00:00,12.85,263.4
2005-10-01 03:00:00,12.54,308.7
2005-10-01 04:00:00,10.87,312.0
2005-10-01 05:00:00,11.58,299.4
2005-10-01 06:00:00,8.2,297.2
2005-10-01 07:00:00,12.38,291.2
2005-10-01 08:00:00,12.23,279.9
2005-10-01 09:00:00,10.41,285.5
2005-10-01 10:00:00,11.47,288.4
2005-10-01 11:00:00,9.76,285.5
2005-10-01 12:00:00,9.74,278.8
2005-10-01 13:00:00,7.3,290.9
2005-10-01 14:00:00,9.62,294.5
2005-10-01 15:00:00,9.93,304.5
2005-10-01 16:00:00,4.97,306.5
2005-10-01 17:00:00,9.3,303.7
2005-10-01 18:00:00,10.7,317.9
2005-10-01 19:00:00,9.12,319.7
2005-10-01 20:00:00,8.89,327.3
2005-10-01 21:00:00,6.91,308.9
2005-10-01 22:00:00,10.74,317.7
2005-10-01 23:00:00,10.28,325.8
2005-10-02 00:00:00,10.03,330.4
2005-10-02 01:00:00,9.83,326.7
2005-10-02 02:00:00,9.77,334.0
2005-10-02 03:00:00,9.55,338.6
2005-10-02 04:00:00,10.09,345.3
2005-10-02 05:00:00,11.17,351.1
2005-10-02 06:00:00,9.68,355.0
2005-10-02 07:00:00,8.45,349.7
2005-10-02 08:00:00,11.68,344.2
2005-10-02 09:00:00,10.67,346.6
2005-10-02 10:00:00,13.07,355.6
2005-10-02 11:00:00,9.75,353.8
2005-10-02 12:00:00,9.6,358.9
2005-10-02 13:00:00,9.47,0.1
2005-10-02 14:00:00,8.38,359.9
2005-10-02 15:00:00,8.17,8.9
2005-10-02 16:00:00,7.26,355.2
2005-10-02 17:00:00,6.74,1.2
2005-10-02 18:00:00,7.67,5.2
2005-10-02 19:00:00,7.12,2.8
2005-10-02 20:00:00,6.58,1.9
2005-10-02 21:00:00,6.96,9.9
2005-10-02 22:00:00,7.45,8.8
2005-10-02 23:00:00,6.45,17.7
2005-10-03 00:00:00,5.81,19.4
2005-10-03 01:00:00,6.55,21.7
2005-10-03 02:00:00,5.94,356.2
2005-10-03 03:00:00,5.4,359.3
2005-10-03 04:00:00,4.86,3.5
2005-10-03 05:00:00,5.8,354.8
2005-10-03 06:00:00,6.53,350.7
2005-10-03 07:00:00,5.05,351.5
2005-10-03 08:00:00,5.77,359.2
2005-10-03 09:00:00,1.98,14.0
2005-10-03 10:00:00,6.68,16.0
2005-10-03 11:00:00,4.67,31.6
2005-10-03 12:00:00,4.37,11.6
2005-10-03 13:00:00,3.07,14.0
2005-10-03 14:00:00,3.12,22.2
2005-10-03 15:00:00,1.22,28.0
