ob_time,target_wind_speed,target_wind_direction
1991-06-18 13:00:00,8.23,299.0
1991-06-18 14:00:00,8.31,293.0
1991-06-18 15:00:00,6.73,287.0
1991-06-18 16:00:00,5.18,270.0
1991-06-18 17:00:00,3.62,246.0
1991-06-18 18:00:00,3.86,243.0
1991-06-18 19:00:00,4.97,255.0
1991-06-18 20:00:00,6.59,280.0
1991-06-18 21:00:00,4.75,322.0
1991-06-18 22:00:00,3.99,326.0
1991-06-18 23:00:00,3.77,308.0
1991-06-19 00:00:00,4.78,285.0
1991-06-19 01:00:00,5.72,288.0
1991-06-19 02:00:00,6.39,290.0
1991-06-19 03:00:00,6.46,296.0
1991-06-19 04:00:00,5.1,307.0
1991-06-19 05:00:00,4.52,292.0
1991-06-19 06:00:00,4.84,274.0
1991-06-19 07:00:00,5.77,275.0
1991-06-19 08:00:00,5.26,282.0
1991-06-19 09:00:00,5.38,283.0
1991-06-19 10:00:00,4.62,281.0
1991-06-19 11:00:00,4.18,285.0
1991-06-19 12:00:00,3.34,275.0
1991-06-19 13:00:00,3.13,291.0
1991-06-19 14:00:00,3.18,262.0
1991-06-19 15:00:00,2.81,258.0
1991-06-19 16:00:00,2.96,277.0
1991-06-19 17:00:00,2.77,316.0
1991-06-19 18:00:00,3.91,7.0
1991-06-19 19:00:00,3.19,36.0
1991-06-19 20:00:00,3.33,52.0
1991-06-19 21:00:00,4.36,60.0
1991-06-19 22:00:00,4.52,59.0
1991-06-19 23:00:00,4.18,52.0
1991-06-20 00:00:00,4.75,43.0
1991-06-20 01:00:00,5.41,40.0
1991-06-20 02:00:00,5.08,28.0
1991-06-20 03:00:00,2.13,30.0
1991-06-20 04:00:00,1.19,61.0
1991-06-20 05:00:00,2.88,80.0
1991-06-20 06:00:00,1.99,54.0
1991-06-20 07:00:00,2.38,17.0
1991-06-20 08:00:00,2.62,18.0
1991-06-20 09:00:00,2.66,45.0
1991-06-20 10:00:00,3.62,5.0
1991-06-20 11:00:00,5.09,6.0
1991-06-20 12:00:00,4.73,351.0
1991-06-20 13:00:00,4.46,13.0
1991-06-20 14:00:00,3.1,346.0
