ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,bin,target_bin
2013-04-22 13:00:00,9.584877,202.4223896961132,8.0,190.0,180-210,180-210
2013-04-22 14:00:00,10.140719,201.68913539898952,9.0,190.0,180-210,180-210
2013-04-22 15:00:00,10.753942,199.8428191989395,10.0,190.0,180-210,180-210
2013-04-22 16:00:00,10.802405,202.42183176717472,10.0,200.0,180-210,180-210
2013-04-22 17:00:00,10.391237,205.603024316742,10.0,200.0,180-210,180-210
2013-04-22 18:00:00,10.096374,209.6408782951075,10.0,200.0,180-210,180-210
2013-04-22 19:00:00,10.021189,215.07479836360855,11.0,200.0,210-240,180-210
2013-04-22 20:00:00,10.065124,221.19925257016197,11.0,200.0,210-240,180-210
2013-04-22 21:00:00,10.362847,226.98377656122292,11.0,210.0,210-240,180-210
2013-04-22 22:00:00,10.665132,230.6437774654351,13.0,220.0,210-240,210-240
2013-04-22 23:00:00,10.632467,237.033771409941,12.0,220.0,210-240,210-240
2013-04-23 00:00:00,10.373402,242.9278472463309,5.0,230.0,240-270,210-240
2013-04-23 01:00:00,9.762237,246.6777502770022,12.0,240.0,240-270,210-240
2013-04-23 02:00:00,9.303446,248.1124762828358,13.0,240.0,240-270,210-240
2013-04-23 03:00:00,9.068035,254.65085553663172,12.0,250.0,240-270,240-270
2013-04-23 04:00:00,8.655407,258.9623767925794,13.0,260.0,240-270,240-270
2013-04-23 05:00:00,8.44157,265.791684965554,12.0,260.0,240-270,240-270
2013-04-23 06:00:00,8.0906925,270.937408388331,11.0,250.0,270-300,240-270
2013-04-23 07:00:00,7.349931,268.0649549677044,11.0,260.0,240-270,240-270
2013-04-23 08:00:00,7.1602464,258.68975774471903,11.0,250.0,240-270,240-270
2013-04-23 09:00:00,7.6389947,257.0372961651715,11.0,250.0,240-270,240-270
2013-04-23 10:00:00,7.851633,259.1646079047847,11.0,260.0,240-270,240-270
2013-04-23 11:00:00,7.7378945,257.2321260661887,11.0,260.0,240-270,240-270
2013-04-23 12:00:00,7.3196754,252.4635215682231,11.0,250.0,240-270,240-270
2013-04-23 13:00:00,7.0048366,247.6855122344826,10.0,250.0,240-270,240-270
2013-04-23 14:00:00,6.590236,239.3432104513254,10.0,240.0,210-240,210-240
2013-04-23 15:00:00,6.4124875,230.38018044356315,8.0,240.0,210-240,210-240
2013-04-23 16:00:00,6.2895355,226.56422174567308,8.0,230.0,210-240,210-240
2013-04-23 17:00:00,6.1535053,224.2867841571636,7.0,230.0,210-240,210-240
2013-04-23 18:00:00,5.9398055,224.7269213546786,6.0,210.0,210-240,180-210
2013-04-23 19:00:00,5.4504414,231.0823325129236,8.0,210.0,210-240,180-210
2013-04-23 20:00:00,4.813046,240.95919290414412,9.0,210.0,240-270,180-210
2013-04-23 21:00:00,4.549246,251.58030870083655,8.0,220.0,240-270,210-240
2013-04-23 22:00:00,4.820803,244.4693699873681,7.0,250.0,240-270,240-270
2013-04-23 23:00:00,4.9451504,241.51279782827348,6.0,250.0,240-270,240-270
2013-04-24 00:00:00,5.4179587,246.344733964039,4.0,60.0,240-270,30-60
2013-04-24 01:00:00,5.476492,252.4646319662682,6.0,230.0,240-270,210-240
2013-04-24 02:00:00,4.991866,251.9288746098099,6.0,240.0,240-270,210-240
2013-04-24 03:00:00,4.666278,245.3183204381785,6.0,220.0,240-270,210-240
2013-04-24 04:00:00,4.8910403,234.1603485812322,7.0,230.0,210-240,210-240
2013-04-24 05:00:00,5.401575,221.58884394636848,7.0,220.0,210-240,210-240
2013-04-24 06:00:00,5.88513,208.8933876665596,8.0,210.0,180-210,180-210
2013-04-24 07:00:00,6.379728,200.7504133093952,7.0,200.0,180-210,180-210
2013-04-24 08:00:00,7.067806,199.99298025826425,7.0,200.0,180-210,180-210
2013-04-24 09:00:00,8.096738,200.27177966902943,8.0,190.0,180-210,180-210
2013-04-24 10:00:00,8.688864,205.1052654635776,9.0,190.0,180-210,180-210
2013-04-24 11:00:00,8.963938,210.21503767250883,9.0,200.0,210-240,180-210
2013-04-24 12:00:00,8.702224,218.14309862435005,9.0,200.0,210-240,180-210
2013-04-24 13:00:00,8.36926,226.96935033439863,9.0,210.0,210-240,180-210
2013-04-24 14:00:00,7.943178,233.95148975089504,10.0,220.0,210-240,210-240
2013-04-24 15:00:00,7.1504145,239.3259535210217,11.0,230.0,210-240,210-240
