ob_time,ref_wind_speed,ref_wind_direction,target_wind_speed,target_wind_direction,bin,target_bin
2020-10-29 17:00:00,13.0,210.0,11.82996,216.67725,180-210,210-240
2020-10-29 18:00:00,13.0,220.0,13.21497,232.14355,210-240,210-240
2020-10-29 19:00:00,13.0,220.0,13.11816,231.25977,210-240,210-240
2020-10-29 20:00:00,13.0,220.0,14.26489,238.68359,210-240,210-240
2020-10-29 21:00:00,12.0,220.0,14.64465,231.61328,210-240,210-240
2020-10-29 22:00:00,13.0,210.0,14.45105,228.43164,180-210,210-240
2020-10-29 23:00:00,14.0,220.0,14.54041,230.64111,210-240,210-240
2020-10-29 00:00:00,13.0,210.0,16.01477,267.1416,180-210,240-270
2020-10-30 01:00:00,13.0,220.0,13.57983,227.72461,210-240,210-240
2020-10-30 02:00:00,14.0,220.0,13.30432,237.53467,210-240,210-240
2020-10-30 03:00:00,14.0,220.0,16.25305,238.77197,210-240,210-240
2020-10-30 04:00:00,14.0,220.0,13.75854,231.61328,210-240,210-240
2020-10-30 05:00:00,14.0,220.0,13.42346,237.97656,210-240,210-240
2020-10-30 06:00:00,13.0,220.0,14.13086,239.83252,210-240,210-240
2020-10-30 07:00:00,13.0,210.0,14.32446,236.82764,180-210,210-240
2020-10-30 08:00:00,13.0,210.0,13.93726,234.26465,180-210,210-240
2020-10-30 09:00:00,13.0,210.0,13.58728,235.41357,180-210,210-240
2020-10-30 10:00:00,13.0,210.0,11.88953,231.08301,180-210,210-240
2020-10-30 11:00:00,13.0,220.0,12.79053,239.39063,210-240,210-240
2020-10-30 12:00:00,14.0,220.0,12.60437,236.91602,210-240,210-240
2020-10-30 13:00:00,14.0,210.0,12.91711,235.23682,180-210,210-240
2020-10-30 14:00:00,15.0,210.0,12.07568,229.93408,180-210,210-240
2020-10-30 15:00:00,14.0,210.0,13.1405,233.38086,180-210,210-240
2020-10-30 16:00:00,13.0,220.0,13.5426,235.41357,210-240,210-240
2020-10-30 17:00:00,13.0,210.0,11.91187,235.41357,180-210,210-240
2020-10-30 18:00:00,12.0,210.0,10.78748,237.53467,180-210,210-240
2020-10-30 19:00:00,12.0,220.0,11.13,233.46924,210-240,210-240
2020-10-30 20:00:00,12.0,220.0,10.28113,233.11572,210-240,210-240
2020-10-30 21:00:00,11.0,220.0,10.66089,240.53955,210-240,240-270
2020-10-30 22:00:00,10.0,220.0,8.94824,245.66553,210-240,240-270
2020-10-30 23:00:00,10.0,210.0,8.9259,232.93896,180-210,210-240
2020-10-30 00:00:00,11.0,210.0,13.8479,231.5249,180-210,210-240
2020-10-31 01:00:00,10.0,210.0,10.07263,227.81299,180-210,210-240
2020-10-31 02:00:00,9.0,200.0,10.66833,228.43164,180-210,210-240
2020-10-31 03:00:00,9.0,190.0,8.01746,226.04541,180-210,210-240
2020-10-31 04:00:00,8.0,180.0,8.59827,206.69043,150-180,180-210
